Metric,4,3,2,1
Summary,"Includes accurate plot summaries, which are also balanced with appropriate amount of description and analysis.","Includes some plot summaries, but not necessarily enough to contextualize the analysis, which makes the analysis a little disorienting.",Not enough plot summaries to contextualize the analysis.,No plot summaries included.
Description,Includes appropriate film terminologies to accurately describe cinematic details.,"Includes some film terminologies to describe cinematic details, but they might be either inaccurate or redundant.",Not enough descriptions. May be a result of too much plot summary.,No description included.
Analysis,Includes an in-depth analysis based on concrete evidence and sound logic. Interpretations are convincing and nuanced.    ,"Includes some convincing analysis, but there might be occasionally logic gaps between evidence and analysis.",Not enough analysis. Claims are made without much development.,No analysis included.
Content,Clearly presents a main idea and supports it throughout the paper.,There is a main idea supported throughout most of the paper.,"Vague sense of a main idea, weakly supported throughout the paper.",No main idea
Organization (Overall),"Well-planned and well-thought out. Includes title, introduction, statement of main idea, transitions and conclusion.","Good overall organization, includes the main organizational tools.","There is a sense of organization, although some of the organizational tools are used weakly or missing",No sense of organization
Organization (Paragraph),"All paragraphs have clear ideas, are supported with examples and have smooth transitions.","Most paragraphs have clear ideas, are supported with some examples and have transitions.","Some paragraphs have clear ideas, support from examples may be missing and transitions are weak.",Para. lack clear ideas
Argument,"Exceptionally well presented and argued; ideas are detailed, welldeveloped, supported with specific evidence & facts, as well as examples and specific details.","Well-presented and argued; ideas are detailed, developed and supported with evidence and details, mostly specific.","Content is sound and solid; ideas are present but not particularly developed or supported; some evidence, but usually of a generalized nature.",Content is not sound
Evidence,Large amounts of specific examples and detailed descriptions.,Some use of specific examples and detailed descriptions. May have extended examples that go on for too long.,Little use of specific examples and details; mostly generalized examples and little description.,No use of examples
Language (Style),Language is clear and concise. The word choice is strong and accurate., Language is sometimes unclear or redundant.,Language clarity is an issue., Language is confusing.
Language (Stence),Sentences are clear and varied in pattern (from simple to complex) with excellent use of punctuation.,Sentences are clear but may lack variation; a few may be awkward and there may be a few punctuation errors.,Sentences are generally clear but may have awkward structure or unclear content; there may be patterns of punctuation errors.,Sentences are not clear.
Grammar,"Excellent grammar, spelling, syntax and punctuation.","A few errors in grammar, spelling, syntax and punctuation, but not many.","Shows a pattern of errors in spelling, grammar, syntax and/or punctuation. Could also be a sign of lack of proofreading.",Continuous errors